encoded_destination_id,destination_movement_id,destination_display_name
819,3853,406761 (3853)
820,3858,100583 (3858)
821,3859,100542 (3859)
822,3860,100063 (3860)
823,3862,100484 (3862)
824,3865,100462 (3865)
825,3866,100053 (3866)
826,3867,100546 (3867)
827,3868,100065 (3868)
828,3869,100613 (3869)
829,3870,100121 (3870)
830,3871,406711 (3871)
831,3872,100445 (3872)
832,3873,100601 (3873)
833,3874,100124 (3874)
834,3875,100603 (3875)
835,3876,100424 (3876)
836,3877,406603 (3877)
837,3878,100412 (3878)
838,3879,100532 (3879)
839,3880,100604 (3880)
840,3881,100612 (3881)
841,3882,100062 (3882)
842,3883,100064 (3883)
843,3884,406704 (3884)
844,3886,100414 (3886)
845,3888,100502 (3888)
846,3889,100482 (3889)
847,3890,100132 (3890)
848,3891,100417 (3891)
849,3893,100463 (3893)
850,3894,100483 (3894)
851,3895,100605 (3895)
852,3896,407030 (3896)
853,3897,406431 (3897)
854,3898,100123 (3898)
855,3899,406702 (3899)
856,3900,100551 (3900)
857,3901,100602 (3901)
858,3903,100442 (3903)
859,3904,406714 (3904)
860,3906,100444 (3906)
861,3908,100066 (3908)
862,3909,100126 (3909)
863,3912,100552 (3912)
864,3915,100774 (3915)
865,3916,100423 (3916)
866,3917,100553 (3917)
867,3918,100625 (3918)
868,3919,100131 (3919)
869,3920,406751 (3920)
870,3922,100761 (3922)
871,3923,406750 (3923)
872,3925,100554 (3925)
873,3927,100626 (3927)
874,3928,100125 (3928)
875,3929,406741 (3929)
876,3930,406701 (3930)
877,3931,100464 (3931)
878,3934,100627 (3934)
879,3935,100402 (3935)
880,3936,100629 (3936)
881,3938,100443 (3938)
882,3941,100422 (3941)
883,3943,10062A (3943)
884,3945,100413 (3945)
885,3946,100621 (3946)
886,3949,100403 (3949)
887,3950,406420 (3950)
888,3951,100624 (3951)
889,3952,100401 (3952)
890,3953,100628 (3953)
891,3954,406740 (3954)
892,3958,100631 (3958)
893,3959,100751 (3959)
894,3960,406435 (3960)
895,3966,100632 (3966)
896,3967,406522 (3967)
897,3969,100782 (3969)
898,3970,100634 (3970)
899,3971,406732 (3971)
900,3972,100623 (3972)
901,3973,406510 (3973)
902,3977,100633 (3977)
903,3978,10062B (3978)
904,3981,100622 (3981)
905,3982,100772 (3982)
906,3983,406715 (3983)
907,3985,100762 (3985)
908,3987,406162 (3987)
909,3988,100773 (3988)
910,3989,100771 (3989)
911,3990,10062C (3990)
912,3991,100641 (3991)
913,3992,100752 (3992)
914,3993,10062D (3993)
915,3994,100691 (3994)
916,3996,100651 (3996)
917,3997,406520 (3997)
918,4000,100646 (4000)
919,4001,406511 (4001)
920,4003,100763 (4003)
921,4005,100652 (4005)
922,4006,406713 (4006)
923,4007,406521 (4007)
924,4008,100781 (4008)
925,4011,100642 (4011)
926,4012,100811 (4012)
927,4013,100693 (4013)
928,4017,100645 (4017)
929,4019,100754 (4019)
930,4020,100764 (4020)
931,4021,406720 (4021)
932,4022,100661 (4022)
